run_name,闭合状态,Excel位置,本地metrics路径,建议处理,缺失解释分类,替代run线索
autodl_granite_20b_code_base_e1__vul_type__qlora,双向闭合,应跑缺口明细!R184; 全部结果指标!R127; type指标!R40,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_granite_20b_code_base_e1__vul_type__qlora\vul_type__finetune\metrics.json,可作为闭合结果,,
autodl_granite_3b_code_base_e1__has_vul__direct,双向闭合,应跑缺口明细!R158; 全部结果指标!R128; has指标!R43,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_granite_3b_code_base_e1__has_vul__direct\has_vul__direct\metrics.json,可作为闭合结果,,
autodl_granite_3b_code_base_e1__has_vul__full,双向闭合,应跑缺口明细!R160; 全部结果指标!R129; has指标!R44,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_granite_3b_code_base_e1__has_vul__full\has_vul__finetune\metrics.json,可作为闭合结果,,
autodl_granite_3b_code_base_e1__has_vul__prompt,双向闭合,应跑缺口明细!R159; 全部结果指标!R130; has指标!R45,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_granite_3b_code_base_e1__has_vul__prompt\has_vul__prompt\metrics.json,可作为闭合结果,,
autodl_granite_3b_code_base_e1__has_vul__qlora,双向闭合,应跑缺口明细!R161; 全部结果指标!R131; has指标!R46,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_granite_3b_code_base_e1__has_vul__qlora\has_vul__finetune\metrics.json,可作为闭合结果,,
autodl_granite_3b_code_base_e1__vul_line__direct,双向闭合,应跑缺口明细!R166; 全部结果指标!R132; line指标!R36,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_granite_3b_code_base_e1__vul_line__direct\vul_line__direct\metrics.json,可作为闭合结果,,
autodl_granite_3b_code_base_e1__vul_line__full,双向闭合,应跑缺口明细!R168; 全部结果指标!R133; line指标!R37,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_granite_3b_code_base_e1__vul_line__full\vul_line__finetune\metrics.json,可作为闭合结果,,
autodl_granite_3b_code_base_e1__vul_line__prompt,双向闭合,应跑缺口明细!R167; 全部结果指标!R134; line指标!R38,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_granite_3b_code_base_e1__vul_line__prompt\vul_line__prompt\metrics.json,可作为闭合结果,,
autodl_granite_3b_code_base_e1__vul_line__qlora,双向闭合,应跑缺口明细!R169; 全部结果指标!R135; line指标!R39,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_granite_3b_code_base_e1__vul_line__qlora\vul_line__finetune\metrics.json,可作为闭合结果,,
autodl_granite_3b_code_base_e1__vul_type__direct,双向闭合,应跑缺口明细!R162; 全部结果指标!R136; type指标!R41,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_granite_3b_code_base_e1__vul_type__direct\vul_type__direct\metrics.json,可作为闭合结果,,
autodl_granite_3b_code_base_e1__vul_type__full,双向闭合,应跑缺口明细!R164; 全部结果指标!R137; type指标!R42,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_granite_3b_code_base_e1__vul_type__full\vul_type__finetune\metrics.json,可作为闭合结果,,
autodl_granite_3b_code_base_e1__vul_type__prompt,双向闭合,应跑缺口明细!R163; 全部结果指标!R138; type指标!R43,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_granite_3b_code_base_e1__vul_type__prompt\vul_type__prompt\metrics.json,可作为闭合结果,,
autodl_granite_3b_code_base_e1__vul_type__qlora,双向闭合,应跑缺口明细!R165; 全部结果指标!R139; type指标!R44,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_granite_3b_code_base_e1__vul_type__qlora\vul_type__finetune\metrics.json,可作为闭合结果,,
autodl_granite_8b_code_base_e1__has_vul__direct,双向闭合,应跑缺口明细!R170; 全部结果指标!R140; has指标!R47,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_granite_8b_code_base_e1__has_vul__direct\has_vul__direct\metrics.json,可作为闭合结果,,
autodl_granite_8b_code_base_e1__has_vul__prompt,双向闭合,应跑缺口明细!R171; 全部结果指标!R141; has指标!R48,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_granite_8b_code_base_e1__has_vul__prompt\has_vul__prompt\metrics.json,可作为闭合结果,,
autodl_granite_8b_code_base_e1__has_vul__qlora,双向闭合,应跑缺口明细!R172; 全部结果指标!R142; has指标!R49,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_granite_8b_code_base_e1__has_vul__qlora\has_vul__finetune\metrics.json,可作为闭合结果,,
autodl_granite_8b_code_base_e1__vul_line__direct,双向闭合,应跑缺口明细!R176; 全部结果指标!R143; line指标!R40,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_granite_8b_code_base_e1__vul_line__direct\vul_line__direct\metrics.json,可作为闭合结果,,
autodl_granite_8b_code_base_e1__vul_line__prompt,双向闭合,应跑缺口明细!R177; 全部结果指标!R144; line指标!R41,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_granite_8b_code_base_e1__vul_line__prompt\vul_line__prompt\metrics.json,可作为闭合结果,,
autodl_granite_8b_code_base_e1__vul_line__qlora,双向闭合,应跑缺口明细!R178; 全部结果指标!R145; line指标!R42,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_granite_8b_code_base_e1__vul_line__qlora\vul_line__finetune\metrics.json,可作为闭合结果,,
autodl_granite_8b_code_base_e1__vul_type__direct,双向闭合,应跑缺口明细!R173; 全部结果指标!R146; type指标!R45,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_granite_8b_code_base_e1__vul_type__direct\vul_type__direct\metrics.json,可作为闭合结果,,
autodl_granite_8b_code_base_e1__vul_type__prompt,双向闭合,应跑缺口明细!R174; 全部结果指标!R147; type指标!R46,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_granite_8b_code_base_e1__vul_type__prompt\vul_type__prompt\metrics.json,可作为闭合结果,,
autodl_granite_8b_code_base_e1__vul_type__qlora,双向闭合,应跑缺口明细!R175; 全部结果指标!R148; type指标!R47,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_granite_8b_code_base_e1__vul_type__qlora\vul_type__finetune\metrics.json,可作为闭合结果,,
autodl_qwen25coder14b_e1__has_vul__direct,双向闭合,应跑缺口明细!R59; 全部结果指标!R248; has指标!R78,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_qwen25coder14b_e1__has_vul__direct\has_vul__direct\metrics.json,可作为闭合结果,,
autodl_qwen25coder14b_e1__has_vul__prompt,双向闭合,应跑缺口明细!R60; 全部结果指标!R249; has指标!R79,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_qwen25coder14b_e1__has_vul__prompt\has_vul__prompt\metrics.json,可作为闭合结果,,
autodl_qwen25coder14b_e1__has_vul__qlora,双向闭合,应跑缺口明细!R61; 全部结果指标!R250; has指标!R80,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_qwen25coder14b_e1__has_vul__qlora\has_vul__finetune\metrics.json,可作为闭合结果,,
autodl_qwen25coder14b_e1__vul_line__direct,双向闭合,应跑缺口明细!R65; 全部结果指标!R251; line指标!R82,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_qwen25coder14b_e1__vul_line__direct\vul_line__direct\metrics.json,可作为闭合结果,,
autodl_qwen25coder14b_e1__vul_line__prompt,双向闭合,应跑缺口明细!R66; 全部结果指标!R252; line指标!R83,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_qwen25coder14b_e1__vul_line__prompt\vul_line__prompt\metrics.json,可作为闭合结果,,
autodl_qwen25coder14b_e1__vul_line__qlora,双向闭合,应跑缺口明细!R67; 全部结果指标!R253; line指标!R84,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_qwen25coder14b_e1__vul_line__qlora\vul_line__finetune\metrics.json,可作为闭合结果,,
autodl_qwen25coder14b_e1__vul_type__direct,双向闭合,应跑缺口明细!R62; 全部结果指标!R254; type指标!R79,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_qwen25coder14b_e1__vul_type__direct\vul_type__direct\metrics.json,可作为闭合结果,,
autodl_qwen25coder14b_e1__vul_type__prompt,双向闭合,应跑缺口明细!R63; 全部结果指标!R255; type指标!R80,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_qwen25coder14b_e1__vul_type__prompt\vul_type__prompt\metrics.json,可作为闭合结果,,
autodl_qwen25coder14b_e1__vul_type__qlora,双向闭合,应跑缺口明细!R64; 全部结果指标!R256; type指标!R81,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_qwen25coder14b_e1__vul_type__qlora\vul_type__finetune\metrics.json,可作为闭合结果,,
autodl_qwen25coder32b_e1__has_vul__direct,Excel有-本地镜像缺失,全部结果指标!R257; 全部结果指标!R258,,历史记录/镜像缺失；若正文引用，需重新定位或补拉结果,有同模型/同任务/同方法替代run,autodl_qwen25coder32b_e1_gpu6__has_vul__direct
autodl_qwen25coder32b_e1_gpu6__has_vul__direct,双向闭合,应跑缺口明细!R68; 全部结果指标!R259; has指标!R81,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_qwen25coder32b_e1_gpu6__has_vul__direct\has_vul__direct\metrics.json,可作为闭合结果,,
autodl_qwen25coder32b_e1_gpu6__has_vul__prompt,双向闭合,应跑缺口明细!R69; 全部结果指标!R260; has指标!R82,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_qwen25coder32b_e1_gpu6__has_vul__prompt\has_vul__prompt\metrics.json,可作为闭合结果,,
autodl_qwen25coder32b_e1_gpu6__has_vul__qlora,双向闭合,应跑缺口明细!R70; 全部结果指标!R261; has指标!R83,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_qwen25coder32b_e1_gpu6__has_vul__qlora\has_vul__finetune\metrics.json,可作为闭合结果,,
autodl_qwen25coder32b_e1_gpu6__vul_line__direct,双向闭合,应跑缺口明细!R74; 全部结果指标!R262; line指标!R85,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_qwen25coder32b_e1_gpu6__vul_line__direct\vul_line__direct\metrics.json,可作为闭合结果,,
autodl_qwen25coder32b_e1_gpu6__vul_line__prompt,双向闭合,应跑缺口明细!R75; 全部结果指标!R263; line指标!R86,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_qwen25coder32b_e1_gpu6__vul_line__prompt\vul_line__prompt\metrics.json,可作为闭合结果,,
autodl_qwen25coder32b_e1_gpu6__vul_line__qlora,双向闭合,应跑缺口明细!R76; 全部结果指标!R264,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_reattached\experiments\runs\autodl_qwen25coder32b_e1_gpu6__vul_line__qlora\vul_line__finetune\metrics.json,可作为闭合结果,,
autodl_qwen25coder32b_e1_gpu6__vul_type__direct,双向闭合,应跑缺口明细!R71; 全部结果指标!R265; type指标!R82,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_qwen25coder32b_e1_gpu6__vul_type__direct\vul_type__direct\metrics.json,可作为闭合结果,,
autodl_qwen25coder32b_e1_gpu6__vul_type__prompt,双向闭合,应跑缺口明细!R72; 全部结果指标!R266; type指标!R83,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_qwen25coder32b_e1_gpu6__vul_type__prompt\vul_type__prompt\metrics.json,可作为闭合结果,,
autodl_qwen25coder32b_e1_gpu6__vul_type__qlora,Excel有-本地镜像缺失,应跑缺口明细!R73; 全部结果指标!R267,,历史记录/镜像缺失；若正文引用，需重新定位或补拉结果,表内历史记录或镜像缺失，需按正文是否引用决定是否补拉,
autodl_qwen25coder7b_e1__has_vul__direct,双向闭合,应跑缺口明细!R50; 全部结果指标!R281; has指标!R88,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_qwen25coder7b_e1__has_vul__direct\has_vul__direct\metrics.json,可作为闭合结果,,
autodl_qwen25coder7b_e1__has_vul__prompt,双向闭合,应跑缺口明细!R51; 全部结果指标!R282; has指标!R89,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_qwen25coder7b_e1__has_vul__prompt\has_vul__prompt\metrics.json,可作为闭合结果,,
autodl_qwen25coder7b_e1__has_vul__qlora,双向闭合,应跑缺口明细!R52; 全部结果指标!R283; has指标!R90,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_qwen25coder7b_e1__has_vul__qlora\has_vul__finetune\metrics.json,可作为闭合结果,,
autodl_qwen25coder7b_e1__vul_line__direct,双向闭合,应跑缺口明细!R56; 全部结果指标!R284; line指标!R91,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_qwen25coder7b_e1__vul_line__direct\vul_line__direct\metrics.json,可作为闭合结果,,
autodl_qwen25coder7b_e1__vul_line__prompt,双向闭合,应跑缺口明细!R57; 全部结果指标!R285; line指标!R92,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_qwen25coder7b_e1__vul_line__prompt\vul_line__prompt\metrics.json,可作为闭合结果,,
autodl_qwen25coder7b_e1__vul_line__qlora,双向闭合,应跑缺口明细!R58; 全部结果指标!R286; line指标!R93,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_qwen25coder7b_e1__vul_line__qlora\vul_line__finetune\metrics.json,可作为闭合结果,,
autodl_qwen25coder7b_e1__vul_type__direct,双向闭合,应跑缺口明细!R53; 全部结果指标!R287; type指标!R88,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_qwen25coder7b_e1__vul_type__direct\vul_type__direct\metrics.json,可作为闭合结果,,
autodl_qwen25coder7b_e1__vul_type__prompt,双向闭合,应跑缺口明细!R54; 全部结果指标!R288; type指标!R89,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_qwen25coder7b_e1__vul_type__prompt\vul_type__prompt\metrics.json,可作为闭合结果,,
autodl_qwen25coder7b_e1__vul_type__qlora,双向闭合,应跑缺口明细!R55; 全部结果指标!R289; type指标!R90,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_qwen25coder7b_e1__vul_type__qlora\vul_type__finetune\metrics.json,可作为闭合结果,,
autodl_starcoder2_15b_e1__has_vul__direct,双向闭合,应跑缺口明细!R128; 全部结果指标!R2; has指标!R2,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_15b_e1__has_vul__direct\has_vul__direct\metrics.json,可作为闭合结果,,
autodl_starcoder2_15b_e1__has_vul__prompt,双向闭合,应跑缺口明细!R129; 全部结果指标!R3; has指标!R3,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_15b_e1__has_vul__prompt\has_vul__prompt\metrics.json,可作为闭合结果,,
autodl_starcoder2_15b_e1__has_vul__qlora,双向闭合,应跑缺口明细!R130; 全部结果指标!R4; has指标!R4,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_15b_e1__has_vul__qlora\has_vul__finetune\metrics.json,可作为闭合结果,,
autodl_starcoder2_15b_e1__vul_line__direct,双向闭合,应跑缺口明细!R134; 全部结果指标!R5; line指标!R2,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_15b_e1__vul_line__direct\vul_line__direct\metrics.json,可作为闭合结果,,
autodl_starcoder2_15b_e1__vul_line__prompt,双向闭合,应跑缺口明细!R135; 全部结果指标!R6; line指标!R3,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_15b_e1__vul_line__prompt\vul_line__prompt\metrics.json,可作为闭合结果,,
autodl_starcoder2_15b_e1__vul_line__qlora,双向闭合,应跑缺口明细!R136; 全部结果指标!R7; line指标!R4,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_15b_e1__vul_line__qlora\vul_line__finetune\metrics.json,可作为闭合结果,,
autodl_starcoder2_15b_e1__vul_type__direct,双向闭合,应跑缺口明细!R131; 全部结果指标!R8; type指标!R2,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_15b_e1__vul_type__direct\vul_type__direct\metrics.json,可作为闭合结果,,
autodl_starcoder2_15b_e1__vul_type__prompt,双向闭合,应跑缺口明细!R132; 全部结果指标!R9; type指标!R3,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_15b_e1__vul_type__prompt\vul_type__prompt\metrics.json,可作为闭合结果,,
autodl_starcoder2_15b_e1__vul_type__qlora,双向闭合,应跑缺口明细!R133; 全部结果指标!R10; type指标!R4,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_15b_e1__vul_type__qlora\vul_type__finetune\metrics.json,可作为闭合结果,,
autodl_starcoder2_3b_e1__has_vul__direct,双向闭合,应跑缺口明细!R107; 全部结果指标!R11; has指标!R5,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_3b_e1__has_vul__direct\313250593147\metrics.json,可作为闭合结果,,
autodl_starcoder2_3b_e1__has_vul__full,双向闭合,应跑缺口明细!R109; 全部结果指标!R12; has指标!R6,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_3b_e1__has_vul__full\693753319757\metrics.json,可作为闭合结果,,
autodl_starcoder2_3b_e1__has_vul__prompt,双向闭合,应跑缺口明细!R108; 全部结果指标!R13; has指标!R7,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_3b_e1__has_vul__prompt\100529536671\metrics.json,可作为闭合结果,,
autodl_starcoder2_3b_e1__has_vul__qlora,双向闭合,应跑缺口明细!R110; 全部结果指标!R14; has指标!R8,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_3b_e1__has_vul__qlora\19411008595\metrics.json,可作为闭合结果,,
autodl_starcoder2_3b_e1__vul_line__direct,双向闭合,应跑缺口明细!R115; 全部结果指标!R15; line指标!R5,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_3b_e1__vul_line__direct\595141802364\metrics.json,可作为闭合结果,,
autodl_starcoder2_3b_e1__vul_line__full,双向闭合,应跑缺口明细!R117; 全部结果指标!R16; line指标!R6,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_3b_e1__vul_line__full\vul_line__finetune\metrics.json,可作为闭合结果,,
autodl_starcoder2_3b_e1__vul_line__prompt,双向闭合,应跑缺口明细!R116; 全部结果指标!R17; line指标!R7,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_3b_e1__vul_line__prompt\532848565366\metrics.json,可作为闭合结果,,
autodl_starcoder2_3b_e1__vul_line__qlora,双向闭合,应跑缺口明细!R118; 全部结果指标!R18; line指标!R8,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_3b_e1__vul_line__qlora\vul_line__finetune\metrics.json,可作为闭合结果,,
autodl_starcoder2_3b_e1__vul_type__direct,双向闭合,应跑缺口明细!R111; 全部结果指标!R19; type指标!R5,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_3b_e1__vul_type__direct\513516743652\metrics.json,可作为闭合结果,,
autodl_starcoder2_3b_e1__vul_type__full,双向闭合,应跑缺口明细!R113; 全部结果指标!R20; type指标!R6,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_3b_e1__vul_type__full\231592628803\metrics.json,可作为闭合结果,,
autodl_starcoder2_3b_e1__vul_type__prompt,双向闭合,应跑缺口明细!R112; 全部结果指标!R21; type指标!R7,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_3b_e1__vul_type__prompt\707168188731\metrics.json,可作为闭合结果,,
autodl_starcoder2_3b_e1__vul_type__qlora,双向闭合,应跑缺口明细!R114; 全部结果指标!R22; type指标!R8,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_3b_e1__vul_type__qlora\71122755137\metrics.json,可作为闭合结果,,
autodl_starcoder2_7b_e1__has_vul__direct,双向闭合,应跑缺口明细!R119; 全部结果指标!R23; has指标!R9,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_7b_e1__has_vul__direct\has_vul__direct\metrics.json,可作为闭合结果,,
autodl_starcoder2_7b_e1__has_vul__prompt,双向闭合,应跑缺口明细!R120; 全部结果指标!R24; has指标!R10,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_7b_e1__has_vul__prompt\has_vul__prompt\metrics.json,可作为闭合结果,,
autodl_starcoder2_7b_e1__has_vul__qlora,双向闭合,应跑缺口明细!R121; 全部结果指标!R25; has指标!R11,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_7b_e1__has_vul__qlora\has_vul__finetune\metrics.json,可作为闭合结果,,
autodl_starcoder2_7b_e1__vul_line__direct,双向闭合,应跑缺口明细!R125; 全部结果指标!R26; line指标!R9,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_7b_e1__vul_line__direct\vul_line__direct\metrics.json,可作为闭合结果,,
autodl_starcoder2_7b_e1__vul_line__prompt,双向闭合,应跑缺口明细!R126; 全部结果指标!R27; line指标!R10,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_7b_e1__vul_line__prompt\vul_line__prompt\metrics.json,可作为闭合结果,,
